item,theta,expected_score
e0_E10,-6,0.0188944006971528
e0_E10,-5.95,0.0195042578373739
e0_E10,-5.9,0.0201360069670975
e0_E10,-5.85,0.0207904965138826
e0_E10,-5.8,0.0214686095531351
e0_E10,-5.75,0.0221712652785837
e0_E10,-5.7,0.0228994205373903
e0_E10,-5.65,0.0236540714328677
e0_E10,-5.6,0.0244362549979261
e0_E10,-5.55,0.0252470509425286
e0_E10,-5.5,0.0260875834786025
e0_E10,-5.45,0.0269590232260304
e0_E10,-5.4,0.0278625892035358
e0_E10,-5.35,0.0287995509084764
e0_E10,-5.3,0.0297712304897762
e0_E10,-5.25,0.0307790050184518
e0_E10,-5.2,0.0318243088604376
e0_E10,-5.15,0.0329086361566734
e0_E10,-5.1,0.0340335434156982
e0_E10,-5.05,0.0352006522242989
e0_E10,-5,0.0364116520820824
e0_E10,-4.95,0.037668303366191
e0_E10,-4.9,0.038972440432758
e0_E10,-4.85,0.0403259748621067
e0_E10,-4.8,0.041730898855136
e0_E10,-4.75,0.0431892887888165
e0_E10,-4.7,0.044703308939238
e0_E10,-4.65,0.0462752153812151
e0_E10,-4.6,0.0479073600740753
e0_E10,-4.55,0.049602195143924
e0_E10,-4.5,0.0513622773734205
e0_E10,-4.45,0.0531902729109017
e0_E10,-4.4,0.0550889622115764
e0_E10,-4.35,0.0570612452244869
e0_E10,-4.3,0.0591101468399977
e0_E10,-4.25,0.0612388226137585
e0_E10,-4.2,0.0634505647843789
e0_E10,-4.15,0.0657488086034935
e0_E10,-4.1,0.0681371389984811
e0_E10,-4.05,0.0706192975898558
e0_E10,-4,0.0731991900872949
e0_E10,-3.95,0.0758808940904201
e0_E10,-3.9,0.0786686673228414
e0_E10,-3.85,0.0815669563306198
e0_E10,-3.8,0.0845804056792522
e0_E10,-3.75,0.087713867686542
e0_E10,-3.7,0.0909724127323474
e0_E10,-3.65,0.0943613401902219
e0_E10,-3.6,0.0978861900304281
e0_E10,-3.55,0.101552755148755
e0_E10,-3.5,0.105367094481067
e0_E10,-3.45,0.109335546969584
e0_E10,-3.4,0.113464746453638
e0_E10,-3.35,0.117761637565085
e0_E10,-3.3,0.122233492716762
e0_E10,-3.25,0.126887930281438
e0_E10,-3.2,0.131732934068674
e0_E10,-3.15,0.136776874217908
e0_E10,-3.1,0.142028529638087
e0_E10,-3.05,0.147497112137184
e0_E10,-3,0.153192292399173
e0_E10,-2.95,0.159124227981399
e0_E10,-2.9,0.165303593521885
e0_E10,-2.85,0.171741613363917
e0_E10,-2.8,0.17845009682418
e0_E10,-2.75,0.185441476350815
e0_E10,-2.7,0.192728848838743
e0_E10,-2.65,0.200326020391391
e0_E10,-2.6,0.208247554840203
e0_E10,-2.55,0.216508826355608
e0_E10,-2.5,0.225126076505012
e0_E10,-2.45,0.234116476134034
e0_E10,-2.4,0.243498192465876
e0_E10,-2.35,0.253290461829117
e0_E10,-2.3,0.263513668435005
e0_E10,-2.25,0.274189429629665
e0_E10,-2.2,0.2853406880423
e0_E10,-2.15,0.296991811034843
e0_E10,-2.1,0.309168697828227
e0_E10,-2.05,0.321898894631687
e0_E10,-2,0.335211718029576
e0_E10,-1.95,0.349138386779562
e0_E10,-1.9,0.363712162040399
e0_E10,-1.85,0.378968495869275
e0_E10,-1.8,0.394945187599535
e0_E10,-1.75,0.411682547419729
e0_E10,-1.7,0.429223566113784
e0_E10,-1.65,0.447614089477879
e0_E10,-1.6,0.466902995389788
e0_E10,-1.55,0.487142370858058
e0_E10,-1.5,0.508387685608188
e0_E10,-1.45,0.530697957858814
e0_E10,-1.4,0.554135906891954
e0_E10,-1.35,0.57876808582022
e0_E10,-1.3,0.604664986597772
e0_E10,-1.25,0.631901107815307
e0_E10,-1.2,0.660554974176875
e0_E10,-1.15,0.690709094805852
e0_E10,-1.1,0.722449845714064
e0_E10,-1.05,0.755867259958804
e0_E10,-1,0.791054707300742
e0_E10,-0.949999999999999,0.828108443685489
e0_E10,-0.899999999999999,0.867127009762066
e0_E10,-0.85,0.908210457118838
e0_E10,-0.8,0.951459381195355
e0_E10,-0.75,0.996973741184269
e0_E10,-0.699999999999999,1.04485144996321
e0_E10,-0.649999999999999,1.09518672149384
e0_E10,-0.6,1.14806816948083
e0_E10,-0.55,1.20357665963682
e0_E10,-0.5,1.26178292879879
e0_E10,-0.449999999999999,1.32274499739467
e0_E10,-0.399999999999999,1.38650541717621
e0_E10,-0.35,1.45308841327289
e0_E10,-0.3,1.52249699773937
e0_E10,-0.25,1.59471014979823
e0_E10,-0.199999999999999,1.66968017453031
e0_E10,-0.149999999999999,1.74733036517926
e0_E10,-0.0999999999999996,1.82755310268775
e0_E10,-0.0499999999999998,1.91020852774418
e0_E10,0,1.99512391387176
e0_E10,0.0500000000000007,2.08209385378231
e0_E10,0.100000000000001,2.17088134489943
e0_E10,0.15,2.26121982411551
e0_E10,0.2,2.35281615802346
e0_E10,0.25,2.4453545456621
e0_E10,0.300000000000001,2.5385012397468
e0_E10,0.350000000000001,2.63190994354555
